name,latex,references,tags,domain,domain_latex,minima_latex,link
Powell Sum,"$$f(\mathbf{x})=f(x_1, ..., x_n)=\sum_{i=1}^{n}|x_i|^{i+1}$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. Rahnamyan, H. R. Tizhoosh, N. M. M. Salama, “A Novel Population Initialization Method for Accelerating Evolutionary Algorithms,” Computers and Mathematics with Applications, vol. 53, no. 10, pp. 1605-1614, 2007', 'ukhopadhyay, Sumitra; Das, Soumyadip, (2016), A System on Chip Development of Customizable GA Architecture for Real Parameter Optimization Problem, in Handbook of Research on Natural Computing for Optimization Problems, IGI Global']","['n-dimensional', 'continuous', 'non-differentiable', 'separable', 'unimodal', 'convex']","[-1, 1]","$x_i \in [-1, 1]$ for $i=1, ..., n$",The function has one global minimum $f(\mathbf{x}^{\ast})=0$ at $\mathbf{x}^{\ast} = 0$.,https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/powellsumfcn.markdown
Qing,"$$f(\mathbf{x})=f(x_1, ..., x_n)=\sum_{i=1}^{n}(x^2-i)^2$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. Qing, “Dynamic Differential Evolution Strategy and Applications in Electromagnetic Inverse Scattering Problems,” IEEE Transactions on Geoscience and remote Sensing, vol. 44, no. 1, pp. 116-125, 2006']","['n-dimensional', 'continuous', 'differentiable', 'non-separable', 'multimodal', 'non-convex']","[-500, 500]","$x_i \in [-500, 500]$ for $i=1, ..., n$","The global minima $f(\textbf{x}^{\ast})=0$ are located at $\mathbf{x^\ast}=(\pm\sqrt{i}, ..., \pm\sqrt{i})$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/qingfcn.markdown
Quartic,"$$f(\mathbf{x})=f(x_1,...,x_n)=\sum_{i=1}^{n}ix_i^4+\text{random}[0,1)$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', 'http://www.cs.unm.edu/~neal.holts/dga/benchmarkFunction/quartic.html', '. Storn, K. Price, “Differntial Evolution - A Simple and Efficient Adaptive Scheme for Global Optimization over Continuous Spaces,” Technical Report no. TR-95-012, International Computer Science Institute, Berkeley, CA, 1996. [Available Online']","['n-dimensional', 'continuous', 'differentiable', 'separable', 'multimodal', 'random', 'non-convex']","[-1.28, 1.28]","$x_i \in [-1.28, 1.28]$ for $i=1, ..., n$","The function has one global minimum $f(\textbf{x}^{\ast})=0 + \it\text{random noise}$ at $\textbf{x}^{\ast} = (0, ..., 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/quarticfcn.markdown
Rastrigin,"$$f(\textbf{x})=f(x_1, ..., x_n)=10n + \sum_{i=1}^{n}(x_i^2 - 10cos(2\pi x_i))$$","['http://www.sfu.ca/~ssurjano/rastr.html', 'https://en.wikipedia.org/wiki/Test_functions_for_optimization']","['n-dimensional', 'continuous', 'differentiable', 'separable', 'multimodal', 'convex']","[-5.12, 5.12]","$x_i \in [-5.12, 5.12]$ for $i = 1, ..., n$ ","The function has one global minimum $f(\textbf{x}^{\ast})=0 at $\textbf{x}^{\ast} = (0, 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/rastriginfcn.markdown
Ridge,$$f(\textbf{x}) = x_1 + d\left(\sum_{i=2}^{n}x_i^2\right)^\alpha$$,"['eyer HG., Finck S. (2012) HappyCat – A Simple Function Class Where Well-Known Direct Search Algorithms Do Fail. In: Coello C.A.C., Cutello V., Deb K., Forrest S., Nicosia G., Pavone M. (eds) Parallel Problem Solving from Nature - PPSN XII. PPSN 2012. Lecture Notes in Computer Science, vol 7491. Springer, Berlin, Heidelberg, [https://doi.org/10.1007/978-3-642-32937-1_37', 'yman, A.I.: Convergence Behavior of Evolution Strategies on Ridge Functions. Ph.D. Thesis, University of Dortmund, Department of Computer Science (1999']","['n-dimensional', 'non-separable', 'unimodal', 'non-convex', 'differentiable']","[-5, 5]","$x_i \in [-5, 5]$ for $i=1, 2$","The global minimum of the function depends on the hypercube it is defined on. On the hypercube $$[-\gamma, \gamma]^n$$, $f(\textbf{x}^{\ast})= -\gamma$ located at $\mathbf{x^\ast}=(-\gamma, 0, ..., 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/ridgefcn.markdown
Rosenbrock,"$$f(\textbf{x})=f(x_1, ..., x_n)=\sum_{i=1}^{n-1}[b (x_{i+1} - x_i^2)^ 2 + (a - x_i)^2]$$","['http://www.sfu.ca/~ssurjano/rosen.html', 'https://en.wikipedia.org/wiki/Test_functions_for_optimization', 'omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008']","['n-dimensional', 'continuous', 'differentiable', 'non-separable', 'multimodal', 'non-convex']","[-5, 10]","$x_i \in [-5, 10]$ for $i=1, ..., n$ ","The function has one global minimum $f(\textbf{x}^{\ast})=0$ at $\textbf{x}^{\ast} = (1, ..., 1)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/rosenbrockfcn.markdown
Salomon,"$$f(\mathbf x)=f(x_1, ..., x_n)=1-cos(2\pi\sqrt{\sum_{i=1}^{D}x_i^2})+0.1\sqrt{\sum_{i=1}^{D}x_i^2}$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', 'http://profesores.elo.utfsm.cl/~tarredondo/info/soft-comp/functions/node12.html', '. Salomon, “Re-evaluating Genetic Algorithm Performance Under Corodinate Rotation of Benchmark Functions: A Survey of Some Theoretical and Practical Aspects of Genetic Algorithms,” BioSystems, vol. 39, no. 3, pp. 263-278, 1996']","['n-dimensional', 'continuous', 'differentiable', 'non-separable', 'multimodal', 'non-convex']","[-100, 100]","$x_i \in [-100, 100]$ for $i=1, ..., n$","The function has one global minimum $f(\textbf{x}^{\ast})=0$ at $\textbf{x}^{\ast} = (0, ..., 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/salomonfcn.markdown
Schaffer N. 1,"$$f(x, y)=0.5 + \frac{sin^2(x^2+y^2)^2-0.5}{(1+0.001(x^2+y^2))^2}$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. K. Mishra, “Some New Test Functions For Global Optimization And Performance of Repulsive Particle Swarm Method,” [Available Online']","['2-dimensional', 'continuous', 'differentiable', 'non-separable', 'unimodal', 'non-convex']","[-100, 100]","$x_i \in [-100, 100]$ for $i=1, 2$","The function has one global minimum $f(\textbf{x}^{\ast})=0$ at $\textbf{x}^{\ast} = (0, 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/schaffern1fcn.markdown
Schaffer N. 2,"$$f(x, y)=0.5 + \frac{sin^2(x^2-y^2)-0.5}{(1+0.001(x^2+y^2))^2}$$","['http://www.sfu.ca/~ssurjano/schaffer2.html', 'https://en.wikipedia.org/wiki/Test_functions_for_optimization', 'omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. K. Mishra, “Some New Test Functions For Global Optimization And Performance of Repulsive Particle Swarm Method,” [Available Online']","['2-dimensional', 'continuous', 'differentiable', 'non-separable', 'unimodal', 'non-convex']","[-100, 100]","$x_i \in [-100, 100]$ for $i=1, 2$","The function has one global minimum $f(\textbf{x}^{\ast})=0.0$ at $\textbf{x}^{\ast} = (0, 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/schaffern2fcn.markdown
Schaffer N. 3,"$$f(x, y)=0.5 + \frac{sin^2(cos(|x^2-y^2|))-0.5}{(1+0.001(x^2+y^2))^2}$$","['. K. Mishra, “Some New Test Functions For Global Optimization And Performance of Repulsive Particle Swarm Method,” [Available Online', 'omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008']","['2-dimensional', 'continuous', 'differentiable', 'non-convex', 'unimodal', 'non-separable,', 'non-convex']","[-100, 100]","$x_i \in [-100, 100]$ for $i=1, 2$","The function has one global minimum $f(\textbf{x}^{\ast})=0.00156685$ at $\textbf{x}^{\ast} = (0, 1.253115)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/schaffern3fcn.markdown
Schaffer N. 4,"$$f(x, y)=0.5 + \frac{cos^2(sin(|x^2-y^2|))-0.5}{(1+0.001(x^2+y^2))^2}$$","['https://en.wikipedia.org/wiki/Test_functions_for_optimization', 'rpackages.ianhowson.com/cran/smoof/man/makeSchafferN4Function.html', 'omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. K. Mishra, “Some New Test Functions For Global Optimization And Performance of Repulsive Particle Swarm Method,” [Available Online']","['2-dimensional', 'continuous', 'differentiable', 'non-convex', 'unimodal', 'non-separable', 'non-convex']","[-100, 100]","$x_i \in [-100, 100]$ for $i=1, 2$","The function has one global minimum $f(\textbf{x}^{\ast})=0.292579$ at $\textbf{x}^{\ast} = (0, 1.253115)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/schaffern4fcn.markdown
Schwefel 2.20,"$$f(\mathbf x)=f(x_1, ..., x_n)=\sum_{i=1}^n |x_i|$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. P. Schwefel, “Numerical Optimization for Computer Models,” John Wiley Sons, 1981']","['n-dimensional', 'continuous', 'non-differentiable', 'separable', 'unimodal', 'convex']","[-100, 100]","$x_i \in [-100, 100]$ for $i=1, ..., n$","The function has one global minimum $f(\textbf{x}^{\ast})=0$ at $\textbf{x}^{\ast} = (0, ..., 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/schwefel220fcn.markdown
Schwefel 2.21,"$$f(\mathbf{x})=f(x_1, ..., x_n)=\max_{i=1,...,n}|x_i| $$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. P. Schwefel, “Numerical Optimization for Computer Models,” John Wiley Sons, 1981']","['n-dimensional', 'continuous', 'non-differentiable', 'separable', 'unimodal', 'convex']","[-100, 100]","$x_i \in [-100, 100]$ for $i=1, ..., n$","The function has one global minimum $f(\textbf{x}^{\ast})=0$ at $\textbf{x}^{\ast} = (0, ..., 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/schwefel221fcn.markdown
Schwefel 2.22,"$$f(\mathbf{x})=f(x_1, ..., x_n)=\sum_{i=1}^{n}|x_i|+\prod_{i=1}^{n}|x_i| $$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. P. Schwefel, “Numerical Optimization for Computer Models,” John Wiley Sons, 1981', 'http://www.cs.unm.edu/~neal.holts/dga/benchmarkFunction/schwefel222.html', 'http://www.al-roomi.org/benchmarks/unconstrained/n-dimensions/190-schwefel-s-function-2-22']","['n-dimensional', 'continuous', 'non-differentiable', 'separable', 'unimodal', 'convex']","[-100, 100]","$x_i \in [-100, 100]$ for $i=1, ..., n$","The function has one global minimum $f(\textbf{x}^{\ast})=0$ at $\textbf{x}^{\ast} = (0, ..., 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/schwefel222fcn.markdown
Schwefel 2.23,"$$f(\mathbf{x})=f(x_1, ..., x_n)=\sum_{i=1}^{n}x_i^{10}$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. P. Schwefel, “Numerical Optimization for Computer Models,” John Wiley Sons, 1981']","['n-dimensional', 'continuous', 'differentiable', 'separable', 'unimodal', 'convex']","[-10, 10]","$x_i \in [-10, 10]$ for $i=1, ..., n$","The function has one global minimum $f(\textbf{x}^{\ast})=0$ at $\textbf{x}^{\ast} = (0, ..., 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/schwefel223fcn.markdown
Schwefel,"$$f(\textbf{x}) = f(x_1, x_2, ..., x_n) = 418.9829d -{\sum_{i=1}^{n} x_i sin(\sqrt{|x_i|})}.$$",['ttp://www.sfu.ca/~ssurjan'],"['continuous', 'multimodal', 'non-convex', 'non-differentiable', 'non-separable']","[-500, 500]","$x_i \in [-500, 500]$ for $i = 1..n$","$f(\textbf{x}^{\ast}) = 0$ at $\textbf{x}^{\ast} = (420.9687, ..., 420.9687)$",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/schwefelfcn.markdown
Shubert 3,"$$f(\mathbf{x})=f(x_1, ...,x_n)=\sum_{i=1}^{n}{\sum_{j=1}^5{j sin((j+1)x_i+j)}}$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. P. Adorio, U. P. Dilman, “MVF - Multivariate Test Function Library in C for Unconstrained Global Optimization Methods,” [Available Online']","['n-dimensional', 'continuous', 'differentiable', 'separable', 'multimodal', 'non-convex']","[-10, 10]","$x_i \in [-10, 10]$ for $i=1, ..., n$",The function has one global minimum $f(\textbf{x}^{\ast})\approx-29.6733337$.,https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/shubert3fcn.markdown
Shubert N. 4,"$$f(\mathbf{x})=f(x_1, ...,x_n)=\sum_{i=1}^{n}{\sum_{j=1}^5{j cos((j+1)x_i+j)}}$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. P. Adorio, U. P. Dilman, “MVF - Multivariate Test Function Library in C for Unconstrained Global Optimization Methods,” [Available Online']","['n-dimensional', 'continuous', 'differentiable', 'separable', 'multimodal', 'non-convex']","[-10, 10]","$x_i \in [-10, 10]$ for $i=1, ..., n$",The function has one global minimum $f(\textbf{x}^{\ast})\approx-25.740858$.,https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/shubert4fcn.markdown
Shubert,"$$f(\mathbf{x})=f(x_1, ...,x_n)=\prod_{i=1}^{n}{\left(\sum_{j=1}^5{ cos((j+1)x_i+j)}\right)}$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. P. Adorio, U. P. Dilman, “MVF - Multivariate Test Function Library in C for Unconstrained Global Optimization Methods,” [Available Online']","['n-dimensional', 'continuous', 'differentiable', 'non-separable', 'multimodal', 'non-convex']","[-10, 10]","$x_i \in [-10, 10]$ for $i=1, ..., n$",The function has 18 global minima $f(\textbf{x}^{\ast})\approx-186.7309$.,https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/shubertfcn.markdown
Sphere,"$$f(\textbf{x}) = f(x_1, x_2, ..., x_n) = {\sum_{i=1}^{n} x_i^{2}}.$$","['ttp://www.sfu.ca/~ssurjano/spheref.htm', 'ttps://en.wikipedia.org/wiki/Test_functions_for_optimizatio']","['n-dimensional', 'continuous', 'convex', 'differentiable', 'unimodal', 'separable']","[-5.12, 5.12]","$x_i \in [-5.12, 5.12]$ for $i = 1..n$","$f(\textbf{x}^{\ast}) = 0$ at $\textbf{x}^{\ast} = (0, ..., 0)$",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/spherefcn.markdown
Styblinski-Tank,"$$f(\textbf{x}) = f(x_1, ..., x_n)= \frac{1}{2}\sum_{i=1}^{n} (x_i^4 -16x_i^2+5x_i)$$",['http://www.sfu.ca/~ssurjano/stybtang.html'],"['n-dimensional', 'continuous', 'multimodal', 'non-convex']","[-5, 5]","$x \in [-5, 5]$ for all $i = 1,...,n$","The function has one global minimum at: $f(x^*)=-39.16599\textbf{n}$ at $\textbf{x}^{\ast} = (-2.903534, ..., -2.903534)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/styblinskitankfcn.markdown
Sum Squares,"$$f(\mathbf{x})=f(x_1, ..., x_n)=\sum_{i=1}^{n}{ix_i^2}$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', 'http://www.sfu.ca/~ssurjano/sumsqu.html', '.-R. Hedar, “Global Optimization Test Problems,” [Available Online']","['n-dimensional', 'continuous', 'differentiable', 'separable', 'unimodal', 'convex']","[-10, 10]","$x_i \in [-10, 10]$ for $i=1, ..., n$",The function has one global minimum $f(\mathbf{x}^{\ast})=0$ at $\mathbf{x}^{\ast}=0$.,https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/sumsquaresfcn.markdown
Three-Hump Camel,"$$f(x,y)=2x^2-1.05x^4+\frac{x^6}{6}+xy+y^2$$","['https://en.wikipedia.org/wiki/Test_functions_for_optimization', 'http://www.sfu.ca/~ssurjano/camel3.html']","['2-dimensional', 'continuous', 'differentiable', 'non-separable', 'unimodal', 'non-convex']","[-5, 5]","$x_i \in [-5, 5]$ for $i=1, 2$","The function has one global minimum $f(\textbf{x}^{\ast})=0$ at $\textbf{x}^{\ast} = (0, 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/threehumpcamelfcn.markdown
Wolfe,"$$f(x, y, z) = \frac{4}{3}(x^2 + y^2 - xy)^{0.75} + z$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. P. Schwefel, “Numerical Optimization for Computer Models,” John Wiley Sons, 1981']","['3-dimensional', 'continuous', 'differentiable', 'non-separable', 'multimodal', 'non-convex']","[0, 2]","$x_i \in [0, 2]$ for $i=1, ..., 3$","The global minima $f(\textbf{x}^{\ast})=0$ are located at $\mathbf{x^\ast}=(0, 0, 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/wolfefcn.markdown
Xin-She Yang,"$$f(\mathbf x)=f(x_1, ...,x_n)=\sum_{i=1}^{n}\epsilon_i|x_i|^i$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. S. Yang, “Test Problems in Optimization,” Engineering Optimization: An Introduction with Metaheuristic Applications John Wliey & Sons, 2010. [Available Online']","['n-dimensional', 'separable', 'multimodal', 'non-convex', 'random', 'non-differentiable']","[-5, 5]","$x_i \in [-5, 5]$ for $i=1, ..., n$","The global minima $f(\textbf{x}^{\ast})=0$ are located at $\mathbf{x^\ast}=(0, ..., 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/xinsheyangn1fcn.markdown
Xin-She Yang N. 2,"$$f(\mathbf{x})=f(x_1, ..., x_n)=(\sum_{i=1}^{n}|x_i|)exp(-\sum_{i=1}^{n}sin(x_i^2))$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. S. Yang, “Test Problems in Optimization,” Engineering Optimization: An Introduction with Metaheuristic Applications John Wliey & Sons, 2010. [Available Online']","['n-dimensional', 'non-separable', 'multimodal', 'non-convex', 'non-differentiable']","[-2*np.pi, 2*np.pi]","$x_i \in [-2\pi, 2\pi]$ for $i=1, ..., n$","The global minimum $f(\textbf{x}^{\ast})=0$ are located at $\mathbf{x^\ast}=(0, ..., 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/xinsheyangn2fcn.markdown
Xin-She Yang N. 3,"$$f(\mathbf x)=f(x_1, ..., x_n) =exp(-\sum_{i=1}^{n}(x_i / \beta)^{2m}) - 2exp(-\sum_{i=1}^{n}x_i^2) \prod_{i=1}^{n}cos^ 2(x_i) $$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. S. Yang, “Test Problems in Optimization,” Engineering Optimization: An Introduction with Metaheuristic Applications John Wliey & Sons, 2010. [Available Online']","['n-dimensional', 'non-separable', 'unimodal', 'non-convex', 'differentiable', 'parametric']","[-2*np.pi, 2*np.pi]","$x_i \in [-2\pi, 2\pi]$ for $i=1, ..., n$","The global minimum $f(\textbf{x}^{\ast})=-1$ are located at $\mathbf{x^\ast}=(0, ..., 0)$ for $m=5$ and $\beta = 15$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/xinsheyangn3fcn.markdown
Xin-She Yang N. 4,"$$f(\mathbf x)=f(x_1, ..., x_n)=\left(\sum_{i=1}^{n}sin^2(x_i)-e^{-\sum_{i=1}^{n}x_i^2}\right)e^{-\sum_{i=1}^{n}{sin^2\sqrt{|x_i|}}}$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. S. Yang, “Test Problems in Optimization,” Engineering Optimization: An Introduction with Metaheuristic Applications John Wliey & Sons, 2010. [Available Online']","['n-dimensional', 'non-separable', 'multimodal', 'non-convex', 'non-differentiable']","[-10, 10]","$x_i \in [-10, 10]$ for $i=1, ..., n$","The global minimum $f(\textbf{x}^{\ast})=-1$ are located at $\mathbf{x^\ast}=(0, ..., 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/xinsheyangn4fcn.markdown
Zakharov,"$$f(\textbf{x})=f(x_1, ..., x_n)=\sum_{i=1}^n x_i^{2}+(\sum_{i=1}^n 0.5ix_i)^2 + (\sum_{i=1}^n 0.5ix_i)^4$$",['ttp://www.sfu.ca/~ssurjano/zakharov.htm'],"['continuous', 'convex', 'n-dimensional', 'unimodal']","[-5, 10]","$x_i \in [-5, 10]$ for $i = 1..n$","$f(\textbf{x}^{\ast}) = 0$ at $\textbf{x}^{\ast} = (0, ..., 0)$",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/zakharov.markdown
